"id","name","code","user_type_id/id","group_id/id","chart_template_id/id","tax_ids/id","reconcile","note"
"pcg_849","REPRISES DE CHARGES POUR DEPRECIATIONS ET PROVISIONS À COURT TERME H.A.O.","849","account.data_account_type_revenue","l10n_ohada.gc_84","l10n_ohada.ohada_chart_template",,,
"pcg_851","DOTATIONS AUX PROVISIONS RÉGLEMENTÉES","851","account.data_account_type_expenses","l10n_ohada.gc_85","l10n_ohada.ohada_chart_template",,,
"pcg_852","DOTATIONS AUX AMORTISSEMENTS H.A.O.","852","account.data_account_type_expenses","l10n_ohada.gc_85","l10n_ohada.ohada_chart_template",,,
"pcg_853","DOTATIONS AUX DÉPRÉCIATIONS H.A.O.","853","account.data_account_type_expenses","l10n_ohada.gc_85","l10n_ohada.ohada_chart_template",,,
"pcg_854","DOTATIONS AUX PROVISIONS POUR RISQUES ET CHARGES H.A.O.","854","account.data_account_type_expenses","l10n_ohada.gc_85","l10n_ohada.ohada_chart_template",,,
"pcg_858","AUTRES DOTATIONS H.A.O.","858","account.data_account_type_expenses","l10n_ohada.gc_85","l10n_ohada.ohada_chart_template",,,
"pcg_861","REPRISES DE PROVISIONS RÉGLEMENTÉES","861","account.data_account_type_revenue","l10n_ohada.gc_86","l10n_ohada.ohada_chart_template",,,
"pcg_862","REPRISES D’AMORTISSEMENTS H.A.O","862","account.data_account_type_revenue","l10n_ohada.gc_86","l10n_ohada.ohada_chart_template",,,
"pcg_863","REPRISES DE DÉPRÉCIATIONS H.A.O.","863","account.data_account_type_revenue","l10n_ohada.gc_86","l10n_ohada.ohada_chart_template",,,
"pcg_864","REPRISES DE PROVISIONS POUR RISQUES ET CHARGES H.A.O.","864","account.data_account_type_revenue","l10n_ohada.gc_86","l10n_ohada.ohada_chart_template",,,
"pcg_868","AUTRES REPRISES H.A.O.","868","account.data_account_type_revenue","l10n_ohada.gc_86","l10n_ohada.ohada_chart_template",,,
"pcg_871","PARTICIPATION LÉGALE AUX BÉNÉFICES","871","account.data_account_type_expenses","l10n_ohada.gc_87","l10n_ohada.ohada_chart_template",,,
"pcg_874","PARTICIPATION CONTRACTUELLE AUX BÉNÉFICES","874","account.data_account_type_expenses","l10n_ohada.gc_87","l10n_ohada.ohada_chart_template",,,
"pcg_878","AUTRES PARTICIPATIONS","878","account.data_account_type_expenses","l10n_ohada.gc_87","l10n_ohada.ohada_chart_template",,,
"pcg_881","ÉTAT","881","account.data_account_type_revenue","l10n_ohada.gc_88","l10n_ohada.ohada_chart_template",,,
"pcg_884","COLLECTIVITÉS PUBLIQUES","884","account.data_account_type_revenue","l10n_ohada.gc_88","l10n_ohada.ohada_chart_template",,,
"pcg_886","GROUPE","886","account.data_account_type_revenue","l10n_ohada.gc_88","l10n_ohada.ohada_chart_template",,,
"pcg_888","AUTRES","888","account.data_account_type_revenue","l10n_ohada.gc_88","l10n_ohada.ohada_chart_template",,,
"pcg_8911","Activités exercées dans l'État","8911","account.data_account_type_expenses","l10n_ohada.gc_891","l10n_ohada.ohada_chart_template",,,
"pcg_8912","Activités exercées dans les autres États de la Région","8912","account.data_account_type_expenses","l10n_ohada.gc_891","l10n_ohada.ohada_chart_template",,,
"pcg_8913","Activités exercées hors Région","8913","account.data_account_type_expenses","l10n_ohada.gc_891","l10n_ohada.ohada_chart_template",,,
"pcg_892","RAPPEL D'IMPÔTS SUR RÉSULTATS ANTÉRIEURS","892","account.data_account_type_expenses","l10n_ohada.gc_89","l10n_ohada.ohada_chart_template",,,
"pcg_895","IMPÔT MINIMUM FORFAITAIRE (I.M.F.)","895","account.data_account_type_expenses","l10n_ohada.gc_89","l10n_ohada.ohada_chart_template",,,
"pcg_8991","Dégrèvements","8991","account.data_account_type_expenses","l10n_ohada.gc_899","l10n_ohada.ohada_chart_template",,,
"pcg_8994","Annulations pour pertes rétroactives","8994","account.data_account_type_expenses","l10n_ohada.gc_899","l10n_ohada.ohada_chart_template",,,
"pcg_9011","Crédits confirmés obtenus","9011","l10n_ohada.account_type_special","l10n_ohada.gc_901","l10n_ohada.ohada_chart_template",,,
"pcg_9012","Emprunts restant à encaisser","9012","l10n_ohada.account_type_special","l10n_ohada.gc_901","l10n_ohada.ohada_chart_template",,,
"pcg_9013","Facilités de financement renouvelables","9013","l10n_ohada.account_type_special","l10n_ohada.gc_901","l10n_ohada.ohada_chart_template",,,
"pcg_9014"," Facilités d'émission","9014","l10n_ohada.account_type_special","l10n_ohada.gc_901","l10n_ohada.ohada_chart_template",,,
"pcg_9018","Autres engagements de financement obtenus","9018","l10n_ohada.account_type_special","l10n_ohada.gc_901","l10n_ohada.ohada_chart_template",,,
"pcg_9021","Avals obtenus","9021","l10n_ohada.account_type_special","l10n_ohada.gc_902","l10n_ohada.ohada_chart_template",,,
"pcg_9022","Cautions, garanties obtenues","9022","l10n_ohada.account_type_special","l10n_ohada.gc_902","l10n_ohada.ohada_chart_template",,,
"pcg_9023","Hypothèques obtenues","9023","l10n_ohada.account_type_special","l10n_ohada.gc_902","l10n_ohada.ohada_chart_template",,,
"pcg_9024","Effets endossés par des tiers","9024","l10n_ohada.account_type_special","l10n_ohada.gc_902","l10n_ohada.ohada_chart_template",,,
"pcg_9028","Autres garanties obtenues","9028","l10n_ohada.account_type_special","l10n_ohada.gc_902","l10n_ohada.ohada_chart_template",,,
"pcg_9031","Achats de marchandises à terme","9031","l10n_ohada.account_type_special","l10n_ohada.gc_903","l10n_ohada.ohada_chart_template",,,
"pcg_9032","Achats à terme de devises","9032","l10n_ohada.account_type_special","l10n_ohada.gc_903","l10n_ohada.ohada_chart_template",,,
"pcg_9033","Commandes fermes des clients","9033","l10n_ohada.account_type_special","l10n_ohada.gc_903","l10n_ohada.ohada_chart_template",,,
